"siteslist","cc","meanmat","varmat","sdmat","matslope","matslopese","matslopelog","matslopelogse","matsloplog_exp"
1,"pre",6.97142651084314,1.03925308756646,1.019437632995,-10.6131518843062,2.27964703627089,-0.628424579200466,0.173171419579837,0.53343151848838
1,"post",4.33808762233443,1.54171428216239,1.24165787645486,-3.03672991165038,3.57178738295505,-0.0979352507832217,0.151890315727982,0.906707610460918
2,"pre",8.5506731422109,0.802777551718006,0.895978544228602,-5.57894400686822,2.41113623688585,-0.460831237225624,0.191823486334432,0.630759117074834
2,"post",6.90432440707983,0.538314642072047,0.73369928586039,-8.0392610786051,3.89821588513316,-0.564728199816925,0.285034052773124,0.568514648145283
3,"pre",7.74500649355228,5.08458192820763,2.25490175577732,-5.93800189066307,1.50396701154213,-0.407216621832967,0.113280716028073,0.66550001285347
3,"post",5.56703496328637,1.35928770777927,1.1658849462015,-5.73993566814014,1.1781334646202,-0.313895666974847,0.0624534645584339,0.730595249395692
4,"pre",8.41001314535489,1.31415733364766,1.14636701524759,-8.27846401851923,1.12161061129047,-0.615339112109734,0.0821609192219038,0.540457588517233
4,"post",6.11508758261538,0.854281771598251,0.92427364540933,-5.58095654571972,2.60727016465991,-0.333628961961091,0.163095301422372,0.716319514713701
5,"pre",7.46076649990554,1.20820661191488,1.09918452132246,-5.96602937287053,1.51271275507381,-0.386947807051959,0.107471847171674,0.679126539617843
5,"post",5.03691216811799,0.630902880041715,0.794293950651593,-2.40892114419713,2.0534967743156,-0.0965348422552266,0.096964252988634,0.907978261038297
6,"pre",7.0898665081958,0.954628560781568,0.977050950964978,-5.8979851333241,1.04270178947131,-0.379247404865412,0.0601521153676076,0.684376273699614
6,"post",4.44535077783165,1.50459926073753,1.22662107463451,-4.00528237105903,0.96253084215439,-0.171370211934909,0.0446467279313265,0.842509608616241
7,"pre",8.71431980521977,0.861625886223083,0.928238054716075,-4.55951248573099,2.61334851750282,-0.412706959794785,0.226703144141922,0.661856204891084
7,"post",7.15731562949521,1.48061513028205,1.21680529678418,0.293187235025359,1.76409149633064,0.028412977026415,0.122840155709547,1.02882047592168
8,"pre",7.85057315785934,3.80822048082098,1.95146623870898,-6.23466766656689,1.71039315860274,-0.434168001928376,0.12214725040907,0.647803414120046
8,"post",5.79815776513791,1.39039613496493,1.17915059893337,-2.61932582507097,1.32044260974805,-0.159090608099021,0.0732635536341832,0.852919074091945
9,"pre",8.56246647528063,2.62286533163769,1.61952626765906,-6.08048600416178,2.19182929769903,-0.444650159778598,0.151054746589931,0.641048501358157
9,"post",6.42324547046436,1.76245271181446,1.3275739948547,-2.48387895519141,1.10068609431198,-0.149671264823895,0.0654869546976283,0.860990967925344
10,"pre",7.62964649613077,2.61836907608557,1.61813753311811,-8.6474019537879,1.17491818025407,-0.553602343405862,0.0884247568146494,0.574875178048121
10,"post",5.39226303736826,1.02820314783896,1.0140035245693,-4.89134106992161,1.53617580185806,-0.242249348774528,0.0862427720998495,0.784860449159353
11,"pre",6.86740651316816,1.16288527389152,1.07837158433052,-5.25172332341023,3.3610478581053,-0.313006022360207,0.198199947498881,0.731245508731768
