"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
4,"1990-2010",5.86085232801613,1.14032749354311,0.0352666062886586,1.06786117709331,107.1,31.5684210526316,0.00280517863822682,5.61857820561675,2058,47.6493203843818,-2.8970636289708,1.03523123890902,-4.63745772903167,-1.15666952890994,-0.155252395645291,0.0554971256441192,-0.248552198057697,-0.0619525932328855,5.93026599648048,0.953481917710663,0.976463986898986,0.856199049298309
4,"1970-1990",5.09936054175811,1.62620229197586,0.066621681688981,1.27522636891489,106.95,91.4184210526316,0.00865035307732848,9.56129808407998,1984.2,50.1009588299058,-5.73364527709404,1.13874221908452,-7.64805837157668,-3.8192321826114,-0.257200378077962,0.0594843006287281,-0.357203277883794,-0.157197478272131,6.18011276508952,0.743380929854979,0.862195412800937,0.773213263254079
5,"1950-1970",5.50912282768118,3.0660960828955,0.122492329416972,1.7510271508162,112.9,75.6736842105263,0.00603853287318126,8.69906226041211,2055,69.8444701825992,-4.12213940162131,0.653569695050531,-5.22089762924517,-3.02338117399745,-0.177254378046713,0.0315155325124939,-0.230237175303511,-0.124271580789914,6.98212081167937,0.614520505622061,0.783913583006482,0.83756669884114
5,"1990-2010",6.40697936498957,0.927985716641803,0.0263687485256502,0.963320152722761,109,34.1052631578947,0.00294592544457784,5.83997116070745,2326.8,56.8286262174248,-3.44962588847345,1.17501792090848,-5.42502440829597,-1.47422736865093,-0.184177401043534,0.0657431960661322,-0.294702534223655,-0.0736522678634126,6.52212082196117,0.746925028976353,0.864248244994662,0.831788230637126
5,"1970-1990",5.53211872880652,1.19294586406391,0.0398628086016277,1.09222061144437,111.2,76.2736842105263,0.00658639562909561,8.73348064694291,2229,66.1412749395271,-5.42008922347286,1.3856384020043,-7.74957543778713,-3.09060300915858,-0.264322157140768,0.0727859798843106,-0.386687369082499,-0.141956945199037,6.90704016819626,1.08855768526341,1.04333967875444,0.767726171344858
6,"1950-1970",5.54701217109658,2.52306011894991,0.107943548722126,1.58841434108041,110.25,76.3026315789474,0.00657006474572608,8.73513775386212,1891.2,60.4992547117765,-4.65061021054889,0.691773997676738,-5.81359615888726,-3.48762426221052,-0.190644255560357,0.036908682354895,-0.252693825354227,-0.128594685766487,6.61895146495813,0.614102679431747,0.783647037531405,0.826426532507271
6,"1990-2010",6.67603263766428,0.904861578101422,0.0216540742205226,0.951242123805197,105.6,25.0947368421053,0.00225447736510236,5.0094647261065,2161.2,59.5316922237848,-1.60575517591052,1.18215394665356,-3.59315052952034,0.381640177699307,-0.0978103451067346,0.0724746880921931,-0.219652224310778,0.0240315340973085,6.67405630243612,1.63947497264601,1.28041984233532,0.90682087046164
6,"1970-1990",6.0252006849984,1.46318690291744,0.039742409259105,1.20962262830911,104.35,102.976315789474,0.0101266516696163,10.1477246607047,2079,62.9913790788175,-5.94596687012093,1.39490300508522,-8.29102840706403,-3.60090533317783,-0.34912226993749,0.0859330591224032,-0.493589885940292,-0.204654653934689,6.72148372073087,0.877657909174637,0.936833981650237,0.705306887168587
7,"1950-1970",5.39252856799218,2.7069156233973,0.117429915741509,1.64527068392933,112.85,73.8184210526316,0.00579478588750876,8.59176472283963,1927.8,66.282140293363,-4.67868733327709,0.546717080972117,-5.5978087298929,-3.75956593666128,-0.192048182875596,0.0263146089680114,-0.236287371640418,-0.147808994110775,6.74713694596393,0.355890043444767,0.596565204688278,0.825267103791505
7,"1990-2010",6.43671706924291,0.818906795507743,0.0208897163816688,0.904934691294208,104.25,36.3026315789474,0.00336405620029018,6.02516651877335,2181.6,54.2350828996075,-3.07291519406033,1.39219639898409,-5.4134264806704,-0.732403907450255,-0.189379471790012,0.0833914063982132,-0.329574151235909,-0.0491847923441157,6.33192727782523,0.986826680993572,0.99339150438967,0.8274724446599
7,"1970-1990",5.49079905759894,1.27786636239641,0.042549271080576,1.13042751311016,110.7,115.063157894737,0.00989570367119311,10.7267496425868,2132.4,65.7514695821294,-6.93051367064849,1.52772826529194,-9.49887633154766,-4.36215100974932,-0.343143479227724,0.0798689953617631,-0.477416405971985,-0.208870552483463,6.84890307272154,0.987124331796303,0.993541308550532,0.70953640052171
8,"1950-1970",6.29815559693017,2.51096165064749,0.0768166943648937,1.584601416965,110.65,57.2921052631579,0.00479857389055053,7.56915485791894,2424.6,64.1537264132236,-4.14752365683442,0.558512195876502,-5.08647458294816,-3.20857273072067,-0.205833894042335,0.0334167788935357,-0.262012999389502,-0.149654788695168,7.04084661681836,0.66649987949644,0.816394438673146,0.813968270033369
8,"1990-2010",7.35254491762502,0.833938252847918,0.0163521676673578,0.91320219713266,107.25,41.8815789473684,0.00377208012855055,6.47159786662988,2604.6,67.8649571378421,-2.93390600870608,1.52048300722806,-5.49008819831163,-0.377723819100525,-0.198943334673432,0.103037002874862,-0.372165495241487,-0.0257211741053778,7.21976596765791,0.762199123808086,0.873040161623786,0.819596334711065
8,"1970-1990",6.47047526520967,1.1306967935394,0.026381061503285,1.06334227487644,106.95,98.05,0.00970015398611533,9.90201999594022,2345.4,70.7799254572087,-7.12211021950071,1.41405613282147,-9.49937131655853,-4.74484912244289,-0.448288691966214,0.0962436420494245,-0.610090094875684,-0.286487289056743,7.1793062911429,0.946549853901487,0.972907937012278,0.638720264004031
9,"1950-1970",5.77814741183194,2.55363826078513,0.0918359536934702,1.59801071985926,118.25,84.1973684210526,0.0062488560165611,9.17591240264709,2133.6,73.6290133890026,-4.91582699405804,0.699451295132155,-6.09171974301605,-3.73993424510003,-0.209979312352587,0.0364785826736349,-0.271305813792673,-0.1486528109125,7.3117740301175,0.854352229182471,0.92431175973395,0.810601015224724
9,"1990-2010",6.63087690096868,0.846681821228998,0.0214609952858212,0.920153150964011,105.5,47.4210526315789,0.00440568722023089,6.88629455016113,2345.4,75.8269046421771,-3.40234946570694,1.57113074815462,-6.04367884386033,-0.761020087553551,-0.200057513397523,0.0958195944052298,-0.361146022423615,-0.038969004371432,7.38995144772494,1.17909699011845,1.08586232558205,0.818683666444785
9,"1970-1990",5.83102445983038,1.28196164335239,0.0381227521275308,1.13223745007502,115.7,180.957894736842,0.0158409424771743,13.4520591262766,2247.6,83.1128365824597,-6.62769051284573,2.32415750331457,-10.5349818061839,-2.72039921950757,-0.344838583159622,0.128368173125927,-0.560646610146325,-0.12903055617292,7.60771757188974,1.11820198264021,1.05745069986275,0.708334681386525
10,"1950-1970",5.5129711882509,2.96864199085392,0.115274293771957,1.72297475049808,114.95,84.4710526315789,0.0066595177494969,9.1908134912846,2052,100.944578112745,-4.53729843821877,0.661117123388685,-5.64874513510115,-3.4258517413364,-0.193019122939696,0.0337595046493175,-0.249774406691149,-0.136263839188243,8.17898368815321,0.947170476580354,0.973226837166112,0.824466207770786
10,"1990-2010",6.34836461220135,0.868750335621038,0.0238008369827138,0.932067774156492,110.2,26.9052631578947,0.00229782800768449,5.18702835522371,2284.2,57.2105804323121,-3.77761473415859,0.963203625752659,-5.39691856156607,-2.15831090675111,-0.203253672790456,0.055393513751003,-0.296379286557178,-0.110128059023734,6.57687082073741,0.912648793748766,0.955326537760135,0.816071200107804
10,"1970-1990",5.34609414280056,1.4117821108053,0.0501540673179739,1.18818437576216,113.05,128.260526315789,0.0107625097042425,11.3252163915657,2151.6,62.1223994112101,-7.17268282887788,1.47954022761873,-9.66003346723768,-4.68533219051809,-0.33286709318513,0.0759343537443603,-0.460525239772643,-0.205208946597618,6.64879823848455,0.974831219018175,0.987335413635192,0.716865464130072
11,"1950-1970",6.16990559979678,2.52792908844893,0.0827138311695068,1.58994625332083,114.5,83.3157894736842,0.00680834103925882,9.12774832440532,1920.6,77.766803367605,-4.71415048122004,0.772258769738157,-6.01244457828474,-3.41585638415534,-0.214381160697337,0.0449399104790542,-0.289932546818021,-0.138829774576653,7.19832241975011,0.604580591846024,0.777547806791341,0.807040714188992
11,"1990-2010",7.25312278869974,0.80088601131284,0.0161502186758159,0.89492234932023,104.35,40.5552631578947,0.00387365242766446,6.3683014342833,2209.8,57.0589643370809,-3.50973826810743,1.45906617661561,-5.96266865693174,-1.05680787928312,-0.242477160915376,0.100292964818885,-0.411086141873436,-0.0738681799573162,6.46175792008458,1.03193466524414,1.0158418505083,0.784681668785106
11,"1970-1990",6.19843838604427,1.13998814156957,0.0291154250803498,1.06770227196984,108.65,86.8710526315789,0.00765136272001059,9.32046418541367,2353.8,75.6875106735723,-6.72775155306296,1.31108160322802,-8.93189551742117,-4.52360758870476,-0.393465326127511,0.077452194669935,-0.523675213130512,-0.263255439124509,7.34118531978269,0.858162279603638,0.926370487226162,0.674714712143175
12,"1950-1970",6.04418429113146,2.57270716336483,0.0827434184635398,1.60396607300929,109.5,59.6315789473684,0.00516253793178562,7.72214859656096,1798.8,57.7375562777461,-3.65926816280252,0.737423816234106,-4.89899896958413,-2.41953735602091,-0.177713600844642,0.0413722960062891,-0.247267239847266,-0.108159961842017,6.19638695827415,0.34766437297892,0.589630708985649,0.837182157420098
12,"1990-2010",6.78786870073832,0.928431282842763,0.0209058301691969,0.963551390867536,105.75,30.6184210526316,0.00273500348995354,5.53339146027385,2124.6,51.3630510561816,-3.43259471562468,1.08515116898394,-5.25691243440227,-1.60827699684709,-0.211064852805247,0.0692325166809205,-0.327456108241878,-0.094673597368616,5.96004825387931,1.080463925904,1.03945366703091,0.809721552464295
