"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat"
3156,136.391414116709,57.9640907693781,7.1443546790209,1,1951,50,8.71667,"50 8.71667","1950-1960",112,6.58475395117993
2688,131.262168093153,163.71964285883,9.38467720959095,1,1952,50,8.71667,"50 8.71667","1950-1960",108,8.83680308117058
2148,106.491068531901,132.553239473887,9.84887074760251,1,1953,50,8.71667,"50 8.71667","1950-1960",104,8.83680308117058
2532,121.033231721928,64.876085293011,7.62983853913723,1,1954,50,8.71667,"50 8.71667","1950-1960",116,7.48516376711978
1776,105.89389079874,79.5025148978239,7.8561288566599,1,1955,50,8.71667,"50 8.71667","1950-1960",114,5.9161474087474
2016,103.644008776676,81.1900659978991,7.65403208698356,1,1956,50,8.71667,"50 8.71667","1950-1960",116,6.53762280469241
2640,131.074776807021,91.8191143975015,8.43016110189379,1,1957,50,8.71667,"50 8.71667","1950-1960",112,8.9713112748854
2256,110.650161664194,63.3316126422637,7.03193532669496,1,1958,50,8.71667,"50 8.71667","1950-1960",120,4.39836055742668
2376,116.96249297076,149.903528936929,10.2572578352485,1,1959,50,8.71667,"50 8.71667","1950-1960",106,9.28532766130921
2688,124.906617549389,155.707533230648,10.4883868623405,1,1960,50,8.71667,"50 8.71667","1950-1960",112,8.42622931985582
2916,131.50637700505,17.6992184332704,5.07645149943569,2,1951,51.9,9.85,"51.9 9.85","1950-1960",112,4.54336055418568
2256,114.548732555429,84.7277603083323,5.67274180868821,2,1952,51.9,9.85,"51.9 9.85","1950-1960",105,6.54557362418683
2532,121.289616371739,77.9323356270101,7.97967724099515,2,1953,51.9,9.85,"51.9 9.85","1950-1960",104,6.94024574651276
2304,116.216797589856,26.9762897987689,5.95838696359386,2,1954,51.9,9.85,"51.9 9.85","1950-1960",120,5.12704906572939
1896,106.072924175033,84.112960337918,7.53354821870885,2,1955,51.9,9.85,"51.9 9.85","1950-1960",121,3.46147533246606
2232,105.802021159416,91.4800500129816,7.81096756734675,2,1956,51.9,9.85,"51.9 9.85","1950-1960",130,4.21942613519667
2988,134.887502155058,54.3341333636778,6.91887081309312,2,1957,51.9,9.85,"51.9 9.85","1950-1960",116,7.31663918072266
2076,110.120262345448,47.0914978208975,6.12177405671607,2,1958,51.9,9.85,"51.9 9.85","1950-1960",122,2.72516387351407
2748,124.42404874183,126.847436858024,9.62499978486449,2,1959,51.9,9.85,"51.9 9.85","1950-1960",109,8.22336047193127
2496,120.592842298411,77.855470513338,8.19451594587055,2,1960,51.9,9.85,"51.9 9.85","1950-1960",116,6.09721297847077
1896,107.454684547253,18.3601601115797,4.83790311767089,3,1951,49.3167,12.75,"49.3167 12.75","1950-1960",112,3.98557368140729
