"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat"
2868,131.982939951486,20.4097724045499,4.84338698851606,1,1951,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,7.15880418781434
2208,116.844322572043,103.09855597926,7.09451597045747,1,1952,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,9.16663022989245
2244,108.921099446211,55.7903069245163,6.48854824206642,1,1953,50.5167,8.81667,"50.5167 8.81667","1950-1970",92,9.80173891134884
2520,121.314549738885,41.9602939727019,6.69483856003611,1,1954,50.5167,8.81667,"50.5167 8.81667","1950-1970",119,8.15923894806158
1668,100.261684284006,76.2145418351884,7.39774177013145,1,1955,50.5167,8.81667,"50.5167 8.81667","1950-1970",120,6.20961942642158
2088,102.660108554128,49.6635490916754,6.26322566645761,1,1956,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,7.76255417431948
2808,133.017964876968,81.5857013530484,8.54193529294383,1,1957,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,8.43070633329816
2184,107.470385906141,36.8004096270634,4.77725795773609,1,1958,50.5167,8.81667,"50.5167 8.81667","1950-1970",112,6.24755420818237
2496,116.518933360595,70.9306129312714,7.52774176722573,1,1959,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,10.1025541220164
2592,121.594775450421,45.2503162227472,6.07435470293727,1,1960,50.5167,8.81667,"50.5167 8.81667","1950-1970",97,8.87548893205214
2124,113.506425807031,48.6966925435357,6.88016113653899,1,1961,50.5167,8.81667,"50.5167 8.81667","1950-1970",94,9.13374979584478
1860,103.452181066398,73.1700034568404,6.66096759305125,1,1962,50.5167,8.81667,"50.5167 8.81667","1950-1970",113,6.12624986306764
1824,89.9689087203636,53.4295088199748,6.40903211481148,1,1963,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,7.81445634707242
2100,109.460944376628,58.0326566841245,6.24870953774981,1,1964,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,7.76364113081692
2184,113.629139536232,52.4661209746474,7.32677402978222,1,1965,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,7.2063585345775
2208,117.804877211163,44.0300210655823,5.68338696974059,1,1966,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,8.74809763055173
2520,118.692686360018,29.5893376870603,5.68370955037854,1,1967,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,8.25581503285945
1836,99.7576650213732,52.8188706978481,6.3772579219733,1,1968,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,8.33054329205871
1596,95.8590457365687,44.8533170933684,4.75516118403644,1,1969,50.5167,8.81667,"50.5167 8.81667","1950-1970",110,7.52282591880826
1884,100.085252342037,51.1218415252796,5.48209665165914,1,1970,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,6.60135854810031
3156,136.391414116709,50.6241186983691,6.62919340021307,2,1951,50,8.71667,"50 8.71667","1950-1970",109,8.81423893342119
2688,131.262168093153,94.1856361384632,7.11951596989867,2,1952,50,8.71667,"50 8.71667","1950-1970",103,10.5583693292194
2148,106.491068531901,90.7870029854325,7.67967724770067,2,1953,50,8.71667,"50 8.71667","1950-1970",93,10.931901929566
