"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3156,136.391414116709,57.9640907693781,7.1443546790209,1,1951,51.9,9.85,"51.9 9.85","1950-1960",112,4.54336055418568,2.30145156146177,3.45163035763266
2688,131.262168093153,163.71964285883,9.38467720959095,1,1952,51.9,9.85,"51.9 9.85","1950-1960",105,6.54557362418683,2.69580639135693,4.7808887820277
2148,106.491068531901,132.553239473887,9.84887074760251,1,1953,51.9,9.85,"51.9 9.85","1950-1960",104,6.94024574651276,4.40096764356619,6.23641290408357
2532,121.033231721928,64.876085293011,7.62983853913723,1,1954,51.9,9.85,"51.9 9.85","1950-1960",120,5.12704906572939,3.21387089590632,2.22021734167862
1776,105.89389079874,79.5025148978239,7.8561288566599,1,1955,51.9,9.85,"51.9 9.85","1950-1960",121,3.46147533246606,0.0461290312270003,3.69177769526011
2016,103.644008776676,81.1900659978991,7.65403208698356,1,1956,51.9,9.85,"51.9 9.85","1950-1960",130,4.21942613519667,4.37596764412498,6.62760854751358
2640,131.074776807021,91.8191143975015,8.43016110189379,1,1957,51.9,9.85,"51.9 9.85","1950-1960",116,7.31663918072266,5.67048374422255,7.67880417619144
2256,110.650161664194,63.3316126422637,7.03193532669496,1,1958,51.9,9.85,"51.9 9.85","1950-1960",122,2.72516387351407,4.63790312214124,5.80455542581363
2376,116.96249297076,149.903528936929,10.2572578352485,1,1959,51.9,9.85,"51.9 9.85","1950-1960",109,8.22336047193127,1.30403222891712,4.86826076075111
2688,124.906617549389,155.707533230648,10.4883868623405,1,1960,51.9,9.85,"51.9 9.85","1950-1960",116,6.09721297847077,4.58241925241366,5.38739118393025
2916,131.50637700505,17.6992184332704,5.07645149943569,2,1951,49.3167,12.75,"49.3167 12.75","1950-1960",112,3.98557368140729,1.45354835460744,2.68695646168097
2256,114.548732555429,84.7277603083323,5.67274180868821,2,1952,49.3167,12.75,"49.3167 12.75","1950-1960",109,5.49008184450022,1.14693545823496,3.11977770804531
2532,121.289616371739,77.9323356270101,7.97967724099515,2,1953,49.3167,12.75,"49.3167 12.75","1950-1960",106,6.33999985828996,4.09032248921933,5.43891292190908
2304,116.216797589856,26.9762897987689,5.95838696359386,2,1954,49.3167,12.75,"49.3167 12.75","1950-1960",122,4.51377039091265,0.379838701187363,1.52684779195925
