"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
4,"1990-2010",6.20151625482793,1.45901341569612,0.037527927304991,1.20789627687816,108.1,45.8777777777778,0.00405863169324067,6.77331364826536,2030.4,63.2612413473732,-4.89034382908217,0.970110883453594,-6.63395861950404,-3.1467290386603,-0.280384156681676,0.0607601443089015,-0.389590524832101,-0.17117778853125,6.61743533595976,0.602646934847075,0.776303378098456,0.755493457842308
4,"1970-1990",5.39946709242726,1.74109009352748,0.0631353093820133,1.31950373001651,115.9,51.5684210526316,0.00426104216311366,7.18111558552232,1984.2,70.6091317826727,-3.65437546734341,0.950555622529396,-5.25241591961307,-2.05633501507375,-0.159884410012971,0.0482629436294579,-0.241022361793482,-0.0787464582324593,7.14320951775618,1.83414211883992,1.35430503168227,0.85224229394871
5,"1950-1970",5.20322119517435,2.77470434497758,0.125364391303951,1.66574438164371,114.25,70.8289473684211,0.00565904280021149,8.4159935461252,2130.6,68.0645619365255,-4.13331422446724,0.684851086421072,-5.28466161955127,-2.98196682938321,-0.161471893474221,0.0325470418880654,-0.216188827766233,-0.106754959182209,6.90471758760302,0.767395789329652,0.876011295206661,0.85089044670356
5,"1990-2010",6.24874576196899,1.12113757126438,0.0308802786570806,1.05883783992847,114.1,32.9888888888889,0.00267018592683877,5.74359546703012,2520,67.7655046922742,-4.45939602378505,1.09191724009383,-6.42193771073778,-2.49685433683233,-0.228623885622694,0.0653835703320186,-0.346140101785163,-0.111107669460225,6.85022565333713,0.962167278065349,0.980901258060845,0.795627724262672
5,"1970-1990",5.43159414088949,1.30486736092063,0.0443435066953256,1.14230790985646,116.45,65.2078947368421,0.0050999181743957,8.07514053975794,2388.6,66.6299871237205,-5.02044427692557,1.17302917191114,-6.99249938235776,-3.04838917149337,-0.226953075601324,0.0593958743772173,-0.326807316324396,-0.127098834878252,7.0247821010484,1.09108581922127,1.04455053454645,0.796958178196024
6,"1950-1970",5.91391790060052,2.66762587871103,0.0889979376694016,1.6332868329571,113.15,48.7657894736842,0.00393769742924225,6.98325063803987,2190.6,72.9639728428259,-3.51371941154566,0.574184026675743,-4.47901726464056,-2.54842155845075,-0.163323679119288,0.0312429480317514,-0.215848216999609,-0.110799141238967,7.24385467679691,0.740494629529436,0.860519976252403,0.849316237987226
6,"1990-2010",6.94174574647923,1.49268858036469,0.0348273714860041,1.22175635065454,112.9,54.5444444444444,0.00432589083836343,7.38542107428171,2514,65.3498594028578,-3.27726567582598,1.79584952293374,-6.50500988833497,-0.0495214633169847,-0.184140026304417,0.10624380178381,-0.375095789548117,0.0068157369392822,6.90856436171058,0.604861664774657,0.777728528970525,0.831819319086204
6,"1970-1990",5.95649167014072,1.10175550004825,0.0293492445239742,1.04964541634223,113.7,74.5368421052632,0.00572179503983426,8.63347219288179,2418,71.3270957809104,-4.64063997764099,1.60064671704399,-7.33159055749494,-1.94968939778704,-0.250125021049809,0.0857622421764121,-0.394305465651845,-0.105944576447773,7.22703209652776,2.23757987532699,1.49585422930411,0.77870342266609
7,"1950-1970",4.89009005463239,2.80824268829223,0.126069580720991,1.67578121731097,120.25,47.4605263157895,0.0033962897092379,6.88916005880176,2259,66.912711446793,-3.18337563269991,0.613122960096791,-4.21413624178745,-2.15261502361237,-0.119852410231887,0.026431465971709,-0.164288054853276,-0.0754167656104976,6.97319339252408,0.925897944807722,0.962235909124016,0.887051346759001
7,"1990-2010",6.09712281453835,1.91976274891669,0.0558195354298957,1.38555503279974,120.8,33.5111111111111,0.0023631061902302,5.78887822562464,2709.6,81.5773982390617,-3.2596629260206,0.924016930512,-4.92043141560327,-1.59889443643792,-0.155675962556524,0.0475654111473303,-0.241166967557655,-0.0701849575553938,7.81401595437539,0.953251642263192,0.976346066854981,0.855836468505631
