"cc","meanmat30","varmat30","varlogmat30","sdmat30","meanmat45","varmat45","varlogmat45","sdmat45","meanmat60","varmat60","varlogmat60","sdmat60","meanmatlo","varmatlo","sdmatlo","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","mat30slope","mat30slopese","mat30slopeconfint11","mat30slopeconfint89","mat30slopelog","mat30slopelogse","mat30slopelogconfint11","mat30slopelogconfint89","mat45slope","mat45slopese","mat45slopeconfint11","mat45slopeconfint89","mat45slopelog","mat45slopelogse","mat45slopelogconfint11","mat45slopelogconfint89","mat60slope","mat60slopese","mat60slopeconfint11","mat60slopeconfint89","mat60slopelog","mat60slopelogse","mat60slopelogconfint11","mat60slopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse"
"1950-1970",3.14456780605752,3.54693795286744,0.68122563847448,1.87926532881405,4.74075086021953,2.79069407089201,0.137552755049402,1.66810404936829,5.55657330476265,2.66482308757955,0.116134828896714,1.63069799303314,7.61377234325978,1.25669423200632,1.09021506799547,119.958333333333,63.3541666666667,0.00451031818814,7.85043144142611,2099.95,86.0158428274506,0.336840522574285,0.972421056956068,-1.29795932377196,1.97164036892053,0.0104223199299247,0.0211579601040182,-0.025311330063109,0.0461559699229583,-0.244986169272137,1.08938108745887,-2.07641507720325,1.58644273865897,-0.00492544665714257,0.0434674982268613,-0.0780014654393425,0.0681505721250574,-3.07655652691716,0.825821200902274,-4.46489788654436,-1.68821516728996,-0.12069560784465,0.0368339437977139,-0.18261952982277,-0.0587716858665299,-2.15918643314087,-0.156051372597723,0.102910575508992
"1970-1990",4.49497671404557,4.01699787719786,0.533145995689559,2.00079694901932,5.24090575040896,2.97493625779056,0.181308005407132,1.72179094502365,5.64897647892679,1.29932790489427,0.0441157595293846,1.13487073975441,7.52063222437388,1.40130010002222,1.16269110525713,120.9875,56.1925438596491,0.00411666246967329,7.25600482939374,2321.65,81.3103106701482,0.549190910495318,0.84143298978128,-0.865396435762899,1.96377825675354,0.0141531371310673,0.0225153126155166,-0.0237190312338057,0.0520253054959403,-1.31919577069623,0.927919309785362,-2.87918085555989,0.240789314167427,-0.0447679164938039,0.0353285782790545,-0.104161071268772,0.0146252382811639,-2.51191412929018,1.35505828974384,-4.78999014175102,-0.233838116829348,-0.118575870891637,0.0658592708776765,-0.229296144934577,-0.00785559684869689,-0.483063437547637,-0.0251054939768209,0.0886274045551027
"1990-2010",4.45645588157324,4.92344476565105,0.475537527207091,2.21414106964269,5.15341985763817,2.75298600073668,0.128238669502122,1.65598173802546,6.70699438560612,0.951625689715364,0.0236485271285189,0.972329472405571,7.46809123092461,1.02882107345035,0.994066323268698,114.0375,32.8219298245614,0.0026881618952038,5.55698837891094,2339.65,79.9233837306473,0.299986666378007,0.583096752829194,-0.680294946315643,1.28026827907166,0.00523048688248031,0.0197613055171614,-0.02809878865898,0.0385597624239406,0.144046973655185,0.781999892069962,-1.17062355332879,1.45871750063916,0.00971935048965355,0.0346189047281425,-0.0484807262419216,0.0679194272212287,-2.75675426085424,1.16075577286575,-4.70817576242727,-0.805332759281207,-0.152990898716969,0.0692458947561334,-0.269404644899914,-0.036577152534024,-0.425269583706759,-0.0335295229427112,0.0872889526222202
