"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo"
3036,132.341677913873,37.9362490815559,6.03419341351236,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",108
2472,123.201948199197,194.761401255036,10.0719352587457,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",113
2100,106.424837578008,115.489780062846,8.85499980207533,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",100
2568,123.685826897682,57.1093750119244,7.23080628999178,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",119
1752,101.983392461362,147.151386849134,9.69193526723933,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",127
1980,101.718198696476,151.585745027045,9.90870945594243,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",132
2688,127.63440560612,90.9949546329812,8.2020965908624,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",106
2100,106.313550269477,141.793274724993,9.35564495217536,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",129
2388,120.266229534345,128.713575966967,9.5616126895071,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",104
2664,125.686698253209,143.764086183251,10.1101610643429,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",117
2880,132.186429359376,28.5102209220308,5.410483750034,2,1951,50.0167,7.95,"50.0167 7.95","1950-1960",114
2304,117.535711992008,88.2066658202755,6.59596759450412,2,1952,50.0167,7.95,"50.0167 7.95","1950-1960",105
2244,110.725017857984,89.2943712825475,8.4248385213676,2,1953,50.0167,7.95,"50.0167 7.95","1950-1960",103
2556,122.786771580423,30.1655815547777,5.84951599828538,2,1954,50.0167,7.95,"50.0167 7.95","1950-1960",116
1740,101.419424553729,46.477012418326,6.24193534435284,2,1955,50.0167,7.95,"50.0167 7.95","1950-1960",118
2100,103.304331366686,47.9060255578337,5.98999986611307,2,1956,50.0167,7.95,"50.0167 7.95","1950-1960",119
2796,131.950965438011,80.8257306053494,8.43048368253174,2,1957,50.0167,7.95,"50.0167 7.95","1950-1960",95
2160,109.758176664657,34.6165778034644,5.29274181718187,2,1958,50.0167,7.95,"50.0167 7.95","1950-1960",118
2616,118.926013603151,67.7479884766489,7.35322564209421,2,1959,50.0167,7.95,"50.0167 7.95","1950-1960",99
2676,121.856018728591,83.0260263370762,7.80290305139797,2,1960,50.0167,7.95,"50.0167 7.95","1950-1960",102
3276,137.210807240566,58.4940828999051,6.84612887923516,3,1951,51.8333,7.3,"51.8333 7.3","1950-1960",116
2772,129.832610506688,84.6690791220208,6.28241921441569,3,1952,51.8333,7.3,"51.8333 7.3","1950-1960",104
2604,118.068789778464,85.3101715500479,8.2883869115143,3,1953,51.8333,7.3,"51.8333 7.3","1950-1960",109
2496,122.455525111883,38.1709429365319,6.7832256548347,3,1954,51.8333,7.3,"51.8333 7.3","1950-1960",116
1944,110.692827761701,59.0385122925682,6.94838694146564,3,1955,51.8333,7.3,"51.8333 7.3","1950-1960",118
2100,108.892386542427,43.7506605894061,6.20096760333305,3,1956,51.8333,7.3,"51.8333 7.3","1950-1960",125
3216,140.857534314945,92.0619567310828,8.88919334969814,3,1957,51.8333,7.3,"51.8333 7.3","1950-1960",97
2316,114.539503280712,48.0481516672921,6.22016115129114,3,1958,51.8333,7.3,"51.8333 7.3","1950-1960",120
