"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
1596,95.8590457365687,44.8533170933684,4.75516118403644,1,1969,50.5167,8.81667,"50.5167 8.81667","1950-1970",110,4.72598350092341,3.37338702137312,4.06358686569349
1884,100.085252342037,51.1218415252796,5.48209665165914,1,1970,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,3.9104097486611,2.98096767530566,3.76055547150059
3156,136.391414116709,50.6241186983691,6.62919340021307,2,1951,50,8.71667,"50 8.71667","1950-1970",109,6.58475395117993,4.43274183640437,5.39467379246312
2688,131.262168093153,94.1856361384632,7.11951596989867,2,1952,50,8.71667,"50 8.71667","1950-1970",103,8.83680308117058,5.56532245625051,7.08222206392222
2148,106.491068531901,90.7870029854325,7.67967724770067,2,1953,50,8.71667,"50 8.71667","1950-1970",93,8.83680308117058,6.87645145920255,7.88021721516776
2532,121.033231721928,56.0778277605369,7.38790306067395,2,1954,50,8.71667,"50 8.71667","1950-1970",113,7.48516376711978,5.40903213716322,4.79369554502647
1776,105.89389079874,77.3836222640213,7.80548369650158,2,1955,50,8.71667,"50 8.71667","1950-1970",118,5.9161474087474,1.77483867000668,5.9281109786075
2016,103.644008776676,84.8246052098522,7.76629014899053,2,1956,50,8.71667,"50 8.71667","1950-1970",115,6.53762280469241,7.02887081063443,8.12336938364593
2640,131.074776807021,113.678028168033,9.39064495139305,2,1957,50,8.71667,"50 8.71667","1950-1970",98,8.9713112748854,1.96016124650956,8.75630415210743
2256,110.650161664194,63.3316126422637,7.03193532669496,2,1958,50,8.71667,"50 8.71667","1950-1970",120,4.39836055742668,3.19516121890516,8.33033314713587
2376,116.96249297076,110.123960840527,9.07677399066667,2,1959,50,8.71667,"50 8.71667","1950-1970",103,9.28532766130921,4.94161279277215,9.40782587667522
2688,124.906617549389,93.5800994904607,8.31516110446424,2,1960,50,8.71667,"50 8.71667","1950-1970",99,8.42622931985582,5.98564502750073,5.65663030834707
2088,111.607190205199,95.1331561887312,8.59129013055034,2,1961,50,8.71667,"50 8.71667","1950-1970",95,9.82385223943618,3.60838701612046,4.63699989635497
