"PEP_ID","PLANT_ID","CULT_ID","BBCH","YEAR","DAY"
7185,106,21,10,2011,153
7184,106,21,10,2011,149
7180,106,21,10,2011,142
7178,106,21,10,2011,150
7175,106,21,10,2011,144
7174,106,21,10,2011,140
7173,106,21,10,2011,134
7172,106,21,10,2011,130
7168,106,21,10,2011,136
7165,106,21,10,2011,128
7164,106,21,10,2011,131
7163,106,21,10,2011,133
7160,106,21,10,2011,131
7159,106,21,10,2011,129
7156,106,21,10,2011,122
7155,106,21,10,2011,130
7154,106,21,10,2011,127
7153,106,21,10,2011,129
7185,106,21,10,2010,155
7184,106,21,10,2010,148
7181,106,21,10,2010,139
7180,106,21,10,2010,138
7178,106,21,10,2010,141
7175,106,21,10,2010,138
7174,106,21,10,2010,138
7173,106,21,10,2010,134
7172,106,21,10,2010,135
7168,106,21,10,2010,135
7166,106,21,10,2010,132
7165,106,21,10,2010,134
7164,106,21,10,2010,134
7163,106,21,10,2010,135
7160,106,21,10,2010,136
7159,106,21,10,2010,134
7156,106,21,10,2010,136
7155,106,21,10,2010,136
7154,106,21,10,2010,134
7153,106,21,10,2010,136
7180,106,20,10,2011,143
7178,106,20,10,2011,151
7175,106,20,10,2011,145
7174,106,20,10,2011,142
7173,106,20,10,2011,133
7172,106,20,10,2011,131
7168,106,20,10,2011,131
7165,106,20,10,2011,127
7164,106,20,10,2011,128
7163,106,20,10,2011,129
7160,106,20,10,2011,127
7156,106,20,10,2011,116
7155,106,20,10,2011,122
7154,106,20,10,2011,117
7153,106,20,10,2011,126
7180,106,20,10,2010,139
7178,106,20,10,2010,140
7175,106,20,10,2010,139
7174,106,20,10,2010,136
7173,106,20,10,2010,134
7172,106,20,10,2010,134
7168,106,20,10,2010,134
7166,106,20,10,2010,132
7165,106,20,10,2010,132
7164,106,20,10,2010,133
7163,106,20,10,2010,132
7160,106,20,10,2010,133
7159,106,20,10,2010,132
7156,106,20,10,2010,135
7155,106,20,10,2010,132
7154,106,20,10,2010,129
7153,106,20,10,2010,132
7185,106,21,10,1997,160
7184,106,21,10,1997,167
7181,106,21,10,1997,159
7180,106,20,10,1997,153
7180,106,21,10,1997,153
7178,106,20,10,1997,160
7178,106,21,10,1997,160
7175,106,20,10,1997,154
7175,106,21,10,1997,154
7174,106,20,10,1997,157
7174,106,21,10,1997,157
7173,106,20,10,1997,149
7173,106,21,10,1997,150
7172,106,20,10,1997,142
7172,106,21,10,1997,142
7169,106,20,10,1997,139
7169,106,21,10,1997,146
7168,106,20,10,1997,150
7168,106,21,10,1997,152
7167,106,20,10,1997,148
7167,106,21,10,1997,151
7166,106,20,10,1997,141
7166,106,21,10,1997,148
7165,106,20,10,1997,135
7165,106,21,10,1997,139
