"site","year","gddreq","leafout_date"
1,1,200,133
1,2,200,134
1,3,200,134
1,4,200,133
1,5,219.868210329974,140
1,6,200,132
1,7,200,133
1,8,200,132
1,9,200,137
1,10,200,135
1,11,200,129
1,12,200,136
1,13,200,136
1,14,200,133
1,15,200,136
1,16,238.102218304325,139
1,17,200,136
1,18,200,135
1,19,200,140
1,20,200,138
1,21,200,138
1,22,215.27368858154,139
1,23,200,136
1,24,200,136
1,25,200,135
1,26,206.754009405693,132
1,27,200,139
1,28,215.168275391519,133
1,29,200,133
1,30,200,136
1,31,209.634790053759,140
1,32,208.700103340241,136
1,33,200,135
1,34,200,139
1,35,200,134
1,36,232.874526371486,143
1,37,200,138
1,38,200,134
1,39,200,136
1,40,200,137
1,41,200,139
1,42,200,135
1,43,200,136
1,44,200,136
1,45,200,130
1,46,207.747573595474,135
1,47,220.27579107504,139
1,48,200,136
1,49,200,140
1,50,200,132
2,1,200,139
2,2,200,135
2,3,200,133
2,4,204.174824518176,136
2,5,200,132
2,6,200,138
2,7,200,135
2,8,200,134
2,9,200,137
2,10,200,140
2,11,200,134
2,12,206.347933274551,133
2,13,211.964008266597,133
2,14,200,136
2,15,200,134
2,16,200,133
2,17,200,131
2,18,200,132
2,19,205.380928423991,141
2,20,200,137
2,21,209.906955089183,137
2,22,200,130
2,23,200,134
2,24,232.794305526081,141
2,25,200,134
2,26,200,139
2,27,200,131
2,28,209.876723235138,135
2,29,200,131
2,30,200,132
2,31,210.7505450945,136
2,32,200,136
2,33,200,135
2,34,200,134
2,35,206.667547993925,140
2,36,208.623987109448,136
2,37,200,139
2,38,200,133
2,39,200,133
2,40,200,132
2,41,265.440223307384,145
2,42,200,133
2,43,200,138
2,44,200,127
2,45,200,133
2,46,241.17652477096,139
2,47,200,138
2,48,200,135
2,49,200,131
2,50,200,135
3,1,249.521079248727,141
3,2,200,131
3,3,200,134
3,4,251.235911575777,139
3,5,230.04808102763,138
3,6,200,130
3,7,200,135
3,8,231.657651609728,139
3,9,227.674836631129,139
3,10,200,136
3,11,200,133
3,12,200,132
3,13,200,134
3,14,200,134
3,15,205.07252740847,135
3,16,200,137
3,17,200,136
3,18,276.920685424809,144
3,19,200,134
3,20,200,133
3,21,200,134
3,22,200,135
3,23,204.661508997058,133
3,24,200,136
3,25,210.805457475986,136
3,26,230.270616554511,136
3,27,200,137
3,28,200,133
3,29,200,135
3,30,313.815937594244,154
3,31,200,139
3,32,200,133
3,33,200,135
3,34,200,133
3,35,207.928946121953,135
3,36,200,140
3,37,200,137
3,38,200,132
3,39,200,136
3,40,200,131
3,41,200,139
3,42,200,132
3,43,200,134
3,44,238.382804461578,136
3,45,200.826396182623,138
3,46,242.548805085794,144
3,47,200,138
3,48,200,135
3,49,205.3412858808,136
3,50,200,132
4,1,200,139
4,2,200,136
4,3,200,139
4,4,200,136
4,5,200,138
4,6,200,131
4,7,231.975158345829,138
4,8,200,129
4,9,228.468721002116,142
4,10,200,132
4,11,219.88797032783,132
4,12,200,132
4,13,200,137
4,14,200,131
4,15,200,135
4,16,200,137
4,17,200,136
4,18,204.507906792403,137
4,19,200.099544879403,133
4,20,201.572921565603,134
4,21,266.137353294083,138
4,22,257.757189655928,144
4,23,200,138
4,24,200,141
4,25,200,135
4,26,200,139
4,27,208.349428700629,135
4,28,200,135
4,29,200,139
4,30,200,133
4,31,200,132
4,32,200,131
4,33,276.009560740642,145
4,34,200,136
4,35,200,136
4,36,240.436783560681,141
4,37,200,133
4,38,200,129
4,39,200.055628533923,134
4,40,200,130
4,41,200,135
4,42,200,135
4,43,200,133
4,44,200,136
4,45,200,134
4,46,200,139
4,47,257.951414547965,139
4,48,200,129
4,49,200,133
4,50,200,132
5,1,265.364953065822,140
5,2,257.366853078995,141
5,3,249.396605377553,137
5,4,200,140
5,5,200,136
5,6,200,128
5,7,200,133
5,8,200,135
5,9,200,135
5,10,200,134
5,11,210.999891662056,137
5,12,200,133
5,13,200,132
5,14,200,135
5,15,200,134
5,16,200,137
5,17,246.415355213552,135
5,18,200,140
5,19,200,133
5,20,243.698927385304,140
5,21,200,139
5,22,200,136
5,23,217.362431327679,142
5,24,207.464382878902,135
5,25,200,136
5,26,200,139
5,27,200,140
5,28,200,136
5,29,237.318151786531,143
5,30,200,132
5,31,223.078652362816,136
5,32,200,134
5,33,200,131
5,34,224.851274470186,141
5,35,211.78502427292,140
5,36,200,135
5,37,200,131
5,38,230.783932045278,138
5,39,200,138
5,40,258.312002193479,147
5,41,233.310570893287,141
5,42,200,138
5,43,200,134
5,44,200,138
5,45,200,133
5,46,233.677456109333,141
5,47,210.177070323687,137
5,48,200,133
5,49,200,139
5,50,208.209594950962,141
6,1,200,140
6,2,200,134
6,3,200,137
6,4,200,136
6,5,200,139
6,6,200,135
6,7,200,133
6,8,208.170608952404,135
6,9,200,133
6,10,201.449562017106,130
6,11,200,135
6,12,200,136
6,13,200,134
6,14,217.018455583428,137
6,15,200,135
6,16,200,134
6,17,218.305219074915,141
6,18,200,138
6,19,200,139
6,20,200,134
6,21,200,131
6,22,200,136
6,23,221.37120528013,139
6,24,240.039926614951,141
6,25,200,131
6,26,200,131
6,27,220.981461884854,141
6,28,200,130
6,29,200,138
6,30,200,136
6,31,230.717228742425,139
6,32,200,132
6,33,215.284450808761,134
6,34,200,137
6,35,320.055105956864,146
6,36,214.685348888421,134
6,37,200,130
6,38,200,136
6,39,215.244482572098,134
6,40,200,136
6,41,200,136
6,42,200,134
6,43,260.673990998794,144
6,44,200,135
6,45,200,137
6,46,200,138
6,47,200,137
6,48,200,138
6,49,200,130
6,50,200,136
7,1,278.204554426174,145
7,2,200,132
7,3,200,137
7,4,200,132
7,5,200,133
7,6,200,134
7,7,200,136
7,8,224.444538970341,139
7,9,200,132
7,10,200,133
7,11,200.663962141419,138
7,12,224.447805038025,140
7,13,200,138
7,14,200,131
7,15,252.23568987025,143
7,16,200,137
7,17,208.1038117737,139
7,18,200,139
7,19,200,137
7,20,200,137
7,21,229.774926931915,137
7,22,200,134
7,23,217.64714327158,137
7,24,200,138
7,25,200,135
7,26,200,133
7,27,200,135
7,28,200,136
7,29,200,138
7,30,200,131
7,31,200,134
7,32,243.761639912533,142
7,33,200,132
7,34,200,139
7,35,200,142
7,36,248.843057774171,135
7,37,205.385397251424,135
7,38,200,136
7,39,200,138
7,40,200,136
7,41,200,135
7,42,220.917735824102,135
7,43,200,133
7,44,261.720817502662,146
7,45,239.634197629071,141
7,46,200,137
7,47,209.32634220563,143
7,48,200,133
7,49,200,137
7,50,200,138
8,1,200,138
8,2,200,135
8,3,200,138
8,4,200,134
8,5,208.915461015129,138
8,6,200,133
8,7,277.219980144673,145
8,8,200,134
8,9,200,136
8,10,200,135
8,11,227.896753771532,142
8,12,234.758109783968,144
8,13,226.544811880138,135
8,14,266.446532098231,145
8,15,200,134
8,16,201.28866482283,136
8,17,200,136
8,18,200,137
8,19,237.595792339493,139
8,20,200,137
8,21,208.620214732932,137
8,22,200,131
8,23,200,133
8,24,200,139
8,25,203.559494856484,133
8,26,200,135
8,27,200,135
8,28,200,133
8,29,200,135
8,30,202.129339629034,137
8,31,200,136
8,32,200,136
8,33,233.742275652867,138
8,34,222.868285495451,133
8,35,236.145588006715,142
8,36,235.808861547962,141
8,37,200,138
8,38,200,140
8,39,200,137
8,40,200,138
8,41,200,141
8,42,200,136
8,43,200,137
8,44,200,139
8,45,252.585042630513,142
8,46,211.231882218588,138
8,47,200,135
8,48,200,132
8,49,200,132
8,50,206.761475205774,136
9,1,200,136
9,2,200,129
9,3,200,137
9,4,218.484295149417,142
9,5,200,133
