"pepid","bbch","year","doy","lon","lat"
"4651","60","1991","96","7.11667","49.2"
"4652","60","1991","96","7.21667","49.15"
"1240","60","1991","97","7.06667","51.2"
"1584","60","1991","97","7.73333","52.2833"
"2568","60","1991","97","6.65","49.75"
"2833","60","1991","97","7.43333","49.25"
"3023","60","1991","97","8.8","49.0667"
"3237","60","1991","97","7.88333","48.3333"
"658","60","1991","98","10.4833","52.3833"
"906","60","1991","98","8.03333","52.2833"
"926","60","1991","98","7.85","52.4"
"956","60","1991","98","8.35","52.2"
"1290","60","1991","98","6.26667","51.6667"
"1324","60","1991","98","6.18333","51.6333"
"1510","60","1991","98","6.93333","51.9833"
"1569","60","1991","98","7.48333","52.0833"
"2711","60","1991","98","8.05","49.9667"
"2946","60","1991","98","9.65","49.3"
"3179","60","1991","98","8.13333","48.7"
"3207","60","1991","98","7.65","48.1667"
"4424","60","1991","99","9.16667","49.85"
"649","60","1991","99","10.55","52.4833"
"2311","60","1991","99","8.3","50.1"
"2629","60","1991","99","6.55","49.6833"
"2828","60","1991","99","8.35","49.3"
"3094","60","1991","99","8.76667","49.4667"
"3175","60","1991","99","7.9","47.9833"
"4002","60","1991","100","10.85","49.9333"
"4276","60","1991","100","9.93333","49.8"
"4282","60","1991","100","9.15","50.0833"
"4446","60","1991","100","9.98333","49.7667"
"476","60","1991","100","9.35","52.2667"
"481","60","1991","100","9.95","51.5333"
"561","60","1991","100","10.25","51.65"
"966","60","1991","100","7.3","52.7"
"975","60","1991","100","8.05","52.15"
"1219","60","1991","100","8.56667","53.1833"
"1318","60","1991","100","6.31667","51.5167"
"1620","60","1991","100","8.81667","51.6"
"1724","60","1991","100","8.31667","51.8333"
"2647","60","1991","100","6.68333","49.7333"
"2696","60","1991","100","8.2","50.0167"
"2761","60","1991","100","7.56667","49.4667"
"3585","60","1991","100","12.7667","48.0667"
"4644","60","1991","101","6.85","49.4333"
"370","60","1991","101","8.58333","52.55"
"807","60","1991","101","9.11667","53.45"
"961","60","1991","101","7.5","52.7667"
"1034","60","1991","101","7.21667","53.6"
"1111","60","1991","101","10.85","52.4333"
"1177","60","1991","101","8.1","53.3833"
"1929","60","1991","101","8.73333","49.6833"
"2157","60","1991","101","9.7","50.6667"
"2351","60","1991","101","8.75","50.15"
"2793","60","1991","101","8.28333","49.4333"
"2878","60","1991","101","8.96667","48.7333"
"2939","60","1991","101","9.36667","49.15"
"3091","60","1991","101","8.75","49.2667"
"3215","60","1991","101","7.96667","47.9833"
"3236","60","1991","101","9.18333","47.6667"
"3425","60","1991","101","9.2","48.5333"
"633","60","1991","102","9.46667","52.7667"
"688","60","1991","102","10.3667","53.4167"
"756","60","1991","102","9.85","53.0833"
"868","60","1991","102","9.31667","53.6167"
"1642","60","1991","102","8.3","52.05"
"1880","60","1991","102","7.48333","51.2667"
"2485","60","1991","102","7.75","50.8167"
"2742","60","1991","102","8.16667","49.5833"
"2968","60","1991","102","10.0333","49.4667"
"3024","60","1991","102","8.91667","48.95"
"3121","60","1991","102","8.98333","49.35"
"3317","60","1991","102","9.31667","47.7667"
"3482","60","1991","102","12.8833","47.7333"
"3693","60","1991","102","12.9667","48.8333"
"4256","60","1991","102","10.3167","49.45"
"4363","60","1991","102","10.6167","50"
"4619","60","1991","102","7.16667","49.4167"
"4640","60","1991","102","6.7","49.25"
"276","60","1991","103","9.78333","53.9"
"514","60","1991","103","10.0167","52.0667"
"717","60","1991","103","11.5333","53.0333"
"1117","60","1991","103","10.3333","52.2"
"1119","60","1991","103","10.7167","52.1833"
"1227","60","1991","103","8.6","53.5667"
"2009","60","1991","103","8.81667","50.5167"
"2061","60","1991","103","10.0167","51.2167"
"2120","60","1991","103","9.51667","50.6333"
"2708","60","1991","103","8.11667","49.8333"
"2715","60","1991","103","8.2","49.9667"
"2756","60","1991","103","7.9","49.4833"
"3224","60","1991","103","9.06667","47.7167"
"3397","60","1991","103","8.88333","48.3833"
"3412","60","1991","103","9.65","47.8333"
"4340","60","1991","103","10.2833","49.95"
"162","60","1991","104","9.8","53.7"
"217","60","1991","104","9.85","54.1667"
"743","60","1991","104","10.55","53.2"
"895","60","1991","104","8.61667","53.4333"
"1743","60","1991","104","7.63333","51.1"
"2165","60","1991","104","9.6","51.2833"
"2172","60","1991","104","8.96667","50.8167"
"2210","60","1991","104","9.9","51.0333"
"2552","60","1991","104","7.55","50.1667"
"2656","60","1991","104","7","49.9667"
"2769","60","1991","104","8.05","49.6"
"2819","60","1991","104","7.81667","49.7333"
"3228","60","1991","104","8.78333","47.7667"
"3727","60","1991","104","13.1833","48.45"
"3748","60","1991","104","12.7","48.6667"
"3792","60","1991","104","12.0333","48.7"
"3837","60","1991","104","12.1167","49.3333"
"3860","60","1991","104","11.9167","49.2667"
"3989","60","1991","104","11.5667","49.95"
"4067","60","1991","104","10.7167","49.75"
"50","60","1991","105","10.6667","53.9333"
"148","60","1991","105","10.8333","54.25"
"563","60","1991","105","10.0333","51.8"
"670","60","1991","105","10.85","52.6667"
"933","60","1991","105","6.76667","52.6333"
"1168","60","1991","105","7.98333","53.7"
"1910","60","1991","105","9.21667","50.6167"
"2162","60","1991","105","9.86667","50.7833"
"2443","60","1991","105","8.58333","50.4667"
"2972","60","1991","105","9.85","49.5333"
"3063","60","1991","105","8.51667","49.2167"
"3492","60","1991","105","12.1333","47.8667"
"3653","60","1991","105","12.5667","47.85"
"3734","60","1991","105","13.2333","48.4667"
"3778","60","1991","105","13.1167","48.3333"
"4007","60","1991","105","11","49.8167"
"4466","60","1991","105","10.8333","48.35"
"4521","60","1991","105","10.1","47.8"
"3927","60","1991","106","12.0833","48.9667"
"4075","60","1991","106","11.3333","50.25"
"4230","60","1991","106","10.6","49.5833"
"4346","60","1991","106","9.93333","50.1"
"484","60","1991","106","9.81667","51.9833"
"1032","60","1991","106","7.3","53.55"
"1078","60","1991","106","10.2167","51.95"
"2343","60","1991","106","9.48333","50.1167"
"2693","60","1991","106","7.83333","50.4333"
"3544","60","1991","106","11.6833","48.2833"
"3560","60","1991","106","11.4667","48.8167"
"3617","60","1991","106","11.6333","48.6"
"860","60","1991","107","9.38333","53.6667"
"2852","60","1991","107","10.2167","49.0167"
"3499","60","1991","107","11.2","48.4"
"4146","60","1991","107","11","50.0333"
"4364","60","1991","107","10.4333","50.15"
"4509","60","1991","107","10.1667","48.15"
"310","60","1991","108","8.9","54.0167"
"708","60","1991","108","11.2667","53.0333"
"758","60","1991","108","9.8","53.1167"
"919","60","1991","108","7.95","52.55"
"2254","60","1991","108","8.76667","51.3333"
"3427","60","1991","108","8.56667","48.3"
"3912","60","1991","108","11.6667","49.15"
"4159","60","1991","108","10.5833","49.3"
"4396","60","1991","108","10.5667","50.25"
"1074","60","1991","109","9.85","51.9"
"2795","60","1991","109","8.13333","49.4667"
"3832","60","1991","109","11.8667","49.45"
"4306","60","1991","109","10.2167","50.3167"
"2848","60","1991","110","9.98333","48.4"
"2921","60","1991","110","10.2333","48.5333"
"3071","60","1991","110","9.61667","49.3667"
"3633","60","1991","110","11.3167","48.6333"
"3709","60","1991","110","12.7667","48.4167"
"3711","60","1991","110","12.5667","48.4333"
"3750","60","1991","110","12.1833","48.5833"
"4046","60","1991","110","11.1333","50.2167"
"1217","60","1991","111","8.86667","53.1"
"3069","60","1991","111","9.31667","49.5333"
"3753","60","1991","112","12.35","48.6333"
"244","60","1991","112","9.56667","54.5167"
"529","60","1991","112","9.65","51.9333"
"969","60","1991","112","7.95","52.25"
"3642","60","1991","112","11.1667","48"
"218","60","1991","113","9.66667","54.3"
"1710","60","1991","113","8.71667","51.7333"
"2667","60","1991","113","8.06667","50.6"
"3580","60","1991","113","12.7667","47.9167"
"1936","60","1991","114","9.15","50.3667"
"2284","60","1991","114","9.16667","51.3333"
"2418","60","1991","114","8.06667","50.15"
"3533","60","1991","114","11.9","48.0333"
"4045","60","1991","114","11.15","50.2667"
"3827","60","1991","115","13.5167","48.75"
"4173","60","1991","115","10.5167","49.35"
"4393","60","1991","115","10.5667","50.3"
"1609","60","1991","115","7.38333","51.6333"
"1847","60","1991","115","8.41667","50.9333"
"2893","60","1991","115","10.1833","49.1333"
"3563","60","1991","116","11.2833","48.7833"
"3747","60","1991","116","12.9","48.65"
"3897","60","1991","116","12.1833","49.7167"
"3945","60","1991","116","11.6167","48.9"
"4222","60","1991","116","11.1833","49.2"
"2100","60","1991","117","9.91667","50.45"
"2327","60","1991","117","8.3","50.7833"
"3390","60","1991","117","8.46667","48.4167"
"56","60","1991","118","9.56667","54.7333"
"191","60","1991","118","10.5833","54.3"
"1381","60","1991","118","7.61667","51.0333"
"3498","60","1991","118","11.0833","48.5833"
"3866","60","1991","118","12.7667","49.2167"
"3959","60","1991","118","11.6833","49.5333"
"4487","60","1991","118","10.9833","48.35"
"4419","60","1991","119","10.3833","50.4167"
"28","60","1991","119","9.81667","54.55"
"2613","60","1991","119","6.63333","50.2833"
"2890","60","1991","119","10.2333","49.1333"
"3922","60","1991","120","11.7333","49.1167"
"3536","60","1991","120","11.8167","48.0833"
"1493","60","1991","122","6.63333","50.4833"
"3930","60","1991","122","11.9333","49.0167"
"3893","60","1991","123","12.05","49.8333"
"3967","60","1991","123","12.3167","49.7833"
"3981","60","1991","123","12.2667","49.65"
"213","60","1991","123","9.65","54.0833"
"2080","60","1991","123","8.86667","50.9667"
"2216","60","1991","123","9.53333","50.9833"
"3457","60","1991","123","9.21667","48.1833"
"2024","60","1991","124","9.31667","50.4667"
"3354","60","1991","124","9.76667","48.2"
"3783","60","1991","125","13.2","48.9333"
"3824","60","1991","125","13.8167","48.75"
"4034","60","1991","125","11.7167","49.9"
"3826","60","1991","126","13.45","48.7833"
"3983","60","1991","126","12.35","49.6167"
"1851","60","1991","126","8.36667","51"
"3963","60","1991","127","12.2833","49.95"
"4097","60","1991","127","11.4333","50.05"
"3721","60","1991","130","13.4667","48.8667"
"4142","60","1991","130","11.5667","50.2167"
"4157","60","1991","130","11.8833","50.1"
"2316","60","1991","130","8.58333","50.8"
"3530","60","1991","130","12","48.1667"
"1846","60","1991","131","8.4","51.05"
"1850","60","1991","132","8.46667","50.9833"
"2027","60","1991","132","9.35","50.5667"
"550","60","1991","134","9.8","51.7333"
"2242","60","1991","135","8.73333","51.35"
"1765","60","1991","136","8.63333","51.1167"
"2318","60","1991","142","8.48333","50.9167"
"4071","60","1991","143","11.9333","50.2667"
"3625","60","1991","150","10.7833","47.7333"
"1365","60","1992","80","6.81667","50.7833"
"3036","60","1992","91","9.4","48.8"
"3213","60","1992","92","7.63333","48.0833"
"3260","60","1992","92","7.63333","47.8167"
"5850","60","1992","92","11.9833","51.4"
"938","60","1992","93","7.28333","52.2833"
"977","60","1992","94","8.03333","52.3167"
"4046","60","1992","94","11.1333","50.2167"
"1456","60","1992","95","6.31667","51.0833"
"3114","60","1992","95","8.61667","49.4667"
"4632","60","1992","96","7.05","49.1667"
"1042","60","1992","97","7.7","53.5333"
"1333","60","1992","97","6.53333","51.5833"
"1334","60","1992","97","6.53333","51.6167"
"1363","60","1992","97","6.81667","50.6833"
"1466","60","1992","97","6.45","50.8833"
"2673","60","1992","97","7.76667","50.0833"
"2678","60","1992","97","7.6","50.3"
"3115","60","1992","97","8.65","49.6167"
"3141","60","1992","97","8.81667","49.1833"
"1275","60","1992","98","6.48333","51.25"
"1350","60","1992","98","6.71667","50.9167"
"1423","60","1992","98","7.3","50.7333"
"1840","60","1992","98","8.13333","51.5"
"2933","60","1992","98","9.15","49.0833"
"3046","60","1992","98","8.48333","49"
"3064","60","1992","98","8.68333","49.1833"
"3119","60","1992","98","8.56667","49.3833"
"3179","60","1992","98","8.13333","48.7"
"4599","60","1992","98","6.98333","49.2333"
"381","60","1992","99","8.81667","52.9833"
"1276","60","1992","99","6.45","51.3833"
"2761","60","1992","99","7.56667","49.4667"
"3206","60","1992","99","7.96667","48.1"
"3286","60","1992","99","8.36667","48.7333"
"738","60","1992","100","11.05","53.1"
"911","60","1992","100","7.31667","52.8667"
"1235","60","1992","100","6.45","51.2"
"1889","60","1992","100","7.76667","51.6"
"2390","60","1992","100","7.96667","49.9833"
"2572","60","1992","100","6.65","49.7333"
"2711","60","1992","100","8.05","49.9667"
"2795","60","1992","100","8.13333","49.4667"
"2799","60","1992","100","8.23333","49.3"
"2828","60","1992","100","8.35","49.3"
"2986","60","1992","100","9.38333","48.55"
"3105","60","1992","100","8.3","48.9667"
"4664","60","1992","100","7","49.6"
"1203","60","1992","101","8.48333","53.3333"
"3197","60","1992","101","8","48.1167"
"3237","60","1992","101","7.88333","48.3333"
"561","60","1992","102","10.25","51.65"
"658","60","1992","102","10.4833","52.3833"
"1220","60","1992","102","8.81667","53.1"
"1510","60","1992","102","6.93333","51.9833"
"1600","60","1992","102","7.1","51.6"
"2314","60","1992","102","8.23333","50.1"
"2507","60","1992","102","7.51667","50.3667"
"3089","60","1992","102","8.7","49.3167"
"3200","60","1992","102","7.7","48.1333"
"4649","60","1992","102","7.25","49.2167"
"926","60","1992","103","7.85","52.4"
"1034","60","1992","103","7.21667","53.6"
"1948","60","1992","103","8.6","49.8"
"2568","60","1992","103","6.65","49.75"
"2652","60","1992","103","6.88333","49.9833"
"3023","60","1992","103","8.8","49.0667"
"4424","60","1992","103","9.16667","49.85"
"4651","60","1992","103","7.11667","49.2"
"4977","60","1992","103","12.9833","52.3667"
"833","60","1992","104","8.8","53.2167"
"889","60","1992","104","8.83333","53.6167"
"906","60","1992","104","8.03333","52.2833"
"1324","60","1992","104","6.18333","51.6333"
"1475","60","1992","104","6.25","50.7167"
"1593","60","1992","104","7.91667","51.8667"
"1609","60","1992","104","7.38333","51.6333"
"2039","60","1992","104","8.9","50.0167"
"2939","60","1992","104","9.36667","49.15"
"3464","60","1992","104","9.05","48.4167"
"3747","60","1992","104","12.9","48.65"
"144","60","1992","105","11.0833","54.2333"
"522","60","1992","105","10.15","52.0833"
"553","60","1992","105","10","51.7167"
"563","60","1992","105","10.0333","51.8"
"649","60","1992","105","10.55","52.4833"
"895","60","1992","105","8.61667","53.4333"
"969","60","1992","105","7.95","52.25"
"1154","60","1992","105","8.01667","52.9667"
"1500","60","1992","105","6","50.9833"
"1569","60","1992","105","7.48333","52.0833"
"1584","60","1992","105","7.73333","52.2833"
"1648","60","1992","105","8.6","52.2"
"1729","60","1992","105","8.5","51.85"
"2355","60","1992","105","8.98333","50.1667"
"2793","60","1992","105","8.28333","49.4333"
"4145","60","1992","105","10.8167","50.2333"
"4446","60","1992","105","9.98333","49.7667"
"4687","60","1992","105","14.3167","51.7833"
"4719","60","1992","105","14.1667","52.8"
"5570","60","1992","105","13.4167","51.2"
"5571","60","1992","105","13.4167","51.2333"
"6086","60","1992","105","11.2167","51.3"
"6191","60","1992","105","10.8167","50.2667"
"5830","60","1992","106","12.05","51.85"
"6128","60","1992","106","11.0167","51.05"
"6216","60","1992","106","10.7","51.1833"
"370","60","1992","106","8.58333","52.55"
"758","60","1992","106","9.8","53.1167"
"1326","60","1992","106","6.25","51.5833"
"1665","60","1992","106","9.06667","51.8333"
"1954","60","1992","106","8.85","49.9"
"3121","60","1992","106","8.98333","49.35"
"3207","60","1992","106","7.65","48.1667"
"3492","60","1992","106","12.1333","47.8667"
"3579","60","1992","106","12.9333","47.95"
"3860","60","1992","107","11.9167","49.2667"
"4276","60","1992","107","9.93333","49.8"
"4619","60","1992","107","7.16667","49.4167"
"4640","60","1992","107","6.7","49.25"
"4738","60","1992","107","13.9","52.25"
"5422","60","1992","107","14.1833","51.1667"
"5805","60","1992","107","12.1333","51.1667"
"5963","60","1992","107","11.3667","51.9167"
"966","60","1992","107","7.3","52.7"
"1684","60","1992","107","8.66667","52.2667"
"1869","60","1992","107","7.48333","51.65"
"3071","60","1992","107","9.61667","49.3667"
"956","60","1992","108","8.35","52.2"
"1217","60","1992","108","8.86667","53.1"
"1318","60","1992","108","6.31667","51.5167"
"2477","60","1992","108","7.53333","50.65"
"2819","60","1992","108","7.81667","49.7333"
"3161","60","1992","108","9.31667","49.75"
"4306","60","1992","108","10.2167","50.3167"
"4686","60","1992","108","12.5","52.4333"
"5643","60","1992","108","12.8833","51.65"
"5699","60","1992","108","11.65","51.7"
"6030","60","1992","108","12.1333","51.05"
"484","60","1992","109","9.81667","51.9833"
"2061","60","1992","109","10.0167","51.2167"
"2327","60","1992","109","8.3","50.7833"
"3065","60","1992","109","9.4","49.4"
"4892","60","1992","109","12.1167","52.9833"
"4978","60","1992","109","13.2","52.4"
"5061","60","1992","109","13.3333","52.2"
"5470","60","1992","109","12.5833","51.6"
"5873","60","1992","109","11.2167","51.95"
"6312","60","1992","109","11.4","50.6167"
"191","60","1992","110","10.5833","54.3"
"283","60","1992","110","9.68333","54.0167"
"498","60","1992","110","10.1833","51.5"
"529","60","1992","110","9.65","51.9333"
"654","60","1992","110","10.55","52.3833"
"1219","60","1992","110","8.56667","53.1833"
"2168","60","1992","110","9.51667","51.3833"
"2816","60","1992","110","7.5","49.2167"
"3024","60","1992","110","8.91667","48.95"
"3215","60","1992","110","7.96667","47.9833"
"3228","60","1992","110","8.78333","47.7667"
"4364","60","1992","110","10.4333","50.15"
"4693","60","1992","110","13.0333","52.4333"
"4769","60","1992","110","12.6","52.2833"
"4877","60","1992","110","12.85","52.1"
"4952","60","1992","110","13.3333","52.6333"
"4993","60","1992","110","12.0833","53.0333"
"5155","60","1992","110","13.1667","54.0833"
"5379","60","1992","110","12.3167","51.3167"
"5380","60","1992","110","12.4167","51.3167"
"5839","60","1992","110","12.0667","51.7333"
"5995","60","1992","110","11.9667","51.2167"
"5998","60","1992","110","11.0333","51.8167"
"6028","60","1992","110","12.1333","50.9667"
"6285","60","1992","110","11.7333","51.4333"
"481","60","1992","111","9.95","51.5333"
"628","60","1992","111","10.3833","52.65"
"717","60","1992","111","11.5333","53.0333"
"1227","60","1992","111","8.6","53.5667"
"1580","60","1992","111","7.8","52.3167"
"2267","60","1992","111","9.91667","51.3167"
"2439","60","1992","111","8.63333","50.6167"
"2756","60","1992","111","7.9","49.4833"
"2782","60","1992","111","7.4","49.5167"
"3317","60","1992","111","9.31667","47.7667"
"3397","60","1992","111","8.88333","48.3833"
"3482","60","1992","111","12.8833","47.7333"
"4363","60","1992","111","10.6167","50"
"4393","60","1992","111","10.5667","50.3"
"4617","60","1992","111","6.88333","49.5833"
"4805","60","1992","111","14.5833","52.1833"
"5707","60","1992","111","11.7667","51.7167"
"5918","60","1992","111","11.9","51.4333"
"50","60","1992","112","10.6667","53.9333"
"148","60","1992","112","10.8333","54.25"
"244","60","1992","112","9.56667","54.5167"
"476","60","1992","112","9.35","52.2667"
"862","60","1992","112","9.7","53.4667"
"1078","60","1992","112","10.2167","51.95"
"1111","60","1992","112","10.85","52.4333"
"1620","60","1992","112","8.81667","51.6"
"1643","60","1992","112","8.41667","52"
"2120","60","1992","112","9.51667","50.6333"
"2972","60","1992","112","9.85","49.5333"
"3000","60","1992","112","9.56667","49.25"
"3337","60","1992","112","8.4","47.65"
"4282","60","1992","112","9.15","50.0833"
"4435","60","1992","112","10.1833","50"
"4887","60","1992","112","13.6333","52.35"
"5753","60","1992","112","11.9833","52.35"
"5766","60","1992","112","12.3167","51.7833"
"5819","60","1992","112","11.0333","52.4833"
"5862","60","1992","112","11.7167","51.1"
"5888","60","1992","112","11.95","52.7167"
"6297","60","1992","112","11.5833","50.75"
"6431","60","1992","112","10.3333","51.35"
"3693","60","1992","113","12.9667","48.8333"
"3734","60","1992","113","13.2333","48.4667"
"4230","60","1992","113","10.6","49.5833"
"4408","60","1992","113","9.55","49.8167"
"4692","60","1992","113","13.0667","52.3833"
"4710","60","1992","113","13.8833","53.1"
"4923","60","1992","113","12.5833","52.75"
"5302","60","1992","113","13.8333","53.55"
"5509","60","1992","113","14.95","51.0333"
"5663","60","1992","113","12.7333","51.3667"
"5698","60","1992","113","11.6833","51.7167"
"5714","60","1992","113","12.1167","51.6"
"5763","60","1992","113","12.6","51.7667"
"5808","60","1992","113","13.0333","51.7333"
"5890","60","1992","113","11.8333","52.7167"
"5928","60","1992","113","11.3833","52.85"
"5958","60","1992","113","11.7167","51.9"
"6016","60","1992","113","12.7333","51.6833"
"6156","60","1992","113","12.25","50.7167"
"6354","60","1992","113","12.3667","50.8833"
"6371","60","1992","113","11.0167","51.2833"
"6386","60","1992","113","11.6667","50.85"
"48","60","1992","113","10.7333","53.95"
"708","60","1992","113","11.2667","53.0333"
"1929","60","1992","113","8.73333","49.6833"
"2009","60","1992","113","8.81667","50.5167"
"162","60","1992","114","9.8","53.7"
"217","60","1992","114","9.85","54.1667"
"263","60","1992","114","10.15","53.8167"
"670","60","1992","114","10.85","52.6667"
"1664","60","1992","114","9.08333","51.8667"
"2133","60","1992","114","10","50.85"
"2165","60","1992","114","9.6","51.2833"
"2488","60","1992","114","7.33333","49.6167"
"2603","60","1992","114","6.7","50.15"
"3792","60","1992","114","12.0333","48.7"
"3808","60","1992","114","13.2333","48.55"
"3912","60","1992","114","11.6667","49.15"
"3989","60","1992","114","11.5667","49.95"
"4007","60","1992","114","11","49.8167"
"4012","60","1992","114","11","49.9167"
"4391","60","1992","114","10.1","49.85"
"4708","60","1992","114","14.1167","53.15"
"4740","60","1992","114","14.3","51.9833"
"4897","60","1992","114","13.8667","52.0167"
"5163","60","1992","114","12.3833","53.75"
"5446","60","1992","114","12.5","51.5167"
"5493","60","1992","114","13.7333","50.9667"
"5818","60","1992","114","12.9","51.8833"
"5870","60","1992","114","11.4667","51.2833"
"5924","60","1992","114","11.7833","51.45"
"6082","60","1992","114","11.1833","51.2667"
"6088","60","1992","114","11.3833","51.3167"
"6114","60","1992","114","10.25","51.1333"
"6132","60","1992","114","12.2333","50.8"
"6358","60","1992","114","11.3333","51.1167"
"3711","60","1992","115","12.5667","48.4333"
"3727","60","1992","115","13.1833","48.45"
"3803","60","1992","115","12.5667","48.4667"
"3837","60","1992","115","12.1167","49.3333"
"3886","60","1992","115","11.2833","49.3"
"4067","60","1992","115","10.7167","49.75"
"4186","60","1992","115","11.35","48.9167"
"4222","60","1992","115","11.1833","49.2"
"4265","60","1992","115","10.9833","49.1167"
"4346","60","1992","115","9.93333","50.1"
"4466","60","1992","115","10.8333","48.35"
"4509","60","1992","115","10.1667","48.15"
"4937","60","1992","115","12.6667","52.9833"
"5098","60","1992","115","13.15","53.7167"
"5156","60","1992","115","12.9667","54.0833"
"5213","60","1992","115","12.2667","53.45"
"5501","60","1992","115","12.45","50.8667"
"5503","60","1992","115","12.6167","50.8667"
"5735","60","1992","115","11.5333","51.4833"
"5935","60","1992","115","11.15","52.85"
"5942","60","1992","115","11.4","51.5"
"6120","60","1992","115","11.9833","50.9667"
"6211","60","1992","115","10.65","51.1"
"6361","60","1992","115","11.2","51.15"
"94","60","1992","115","10.6333","53.4833"
"218","60","1992","115","9.66667","54.3"
"276","60","1992","115","9.78333","53.9"
"576","60","1992","115","10.2333","52.3167"
"868","60","1992","115","9.31667","53.6167"
"2418","60","1992","115","8.06667","50.15"
"2655","60","1992","115","6.76667","49.9833"
"2861","60","1992","115","10.1167","48.8667"
"2915","60","1992","115","10.25","48.6167"
"2977","60","1992","115","9.93333","49.45"
"3391","60","1992","115","8.56667","48.5333"
"3438","60","1992","115","9.55","47.9333"
"3448","60","1992","115","9.33333","47.9833"
"3617","60","1992","115","11.6333","48.6"
"550","60","1992","116","9.8","51.7333"
"743","60","1992","116","10.55","53.2"
"1074","60","1992","116","9.85","51.9"
"1847","60","1992","116","8.41667","50.9333"
"2054","60","1992","116","9.93333","51.1833"
"2122","60","1992","116","9.65","50.5333"
"2613","60","1992","116","6.63333","50.2833"
"2893","60","1992","116","10.1833","49.1333"
"3539","60","1992","116","11.9167","48.3167"
"3642","60","1992","116","11.1667","48"
"3698","60","1992","116","12.6833","48.9833"
"3759","60","1992","116","12.3","48.7333"
"3918","60","1992","116","11.7667","49.2167"
"3922","60","1992","116","11.7333","49.1167"
"4075","60","1992","116","11.3333","50.25"
"4173","60","1992","116","10.5167","49.35"
"4248","60","1992","116","10.4667","49.6667"
"4256","60","1992","116","10.3167","49.45"
"4374","60","1992","116","10.6167","50.1667"
"4521","60","1992","116","10.1","47.8"
"4706","60","1992","116","14.25","53.25"
"4751","60","1992","116","12.5333","52.0167"
"4989","60","1992","116","13.9333","53.3167"
"5046","60","1992","116","13.6","53.2667"
"5103","60","1992","116","13.7833","53.7667"
"5153","60","1992","116","13.0667","54.1167"
"5656","60","1992","116","12.35","50.7"
"6391","60","1992","116","11.7333","50.8667"
"6407","60","1992","116","11.3","50.95"
"6441","60","1992","116","11.9833","50.7"
"3798","60","1992","117","12.8833","49.0833"
"3832","60","1992","117","11.8667","49.45"
"3895","60","1992","117","12.15","49.5833"
"3939","60","1992","117","12.25","49.0333"
"3945","60","1992","117","11.6167","48.9"
"4317","60","1992","117","9.91667","50.2833"
"4452","60","1992","117","9.76667","49.7833"
"5080","60","1992","117","12.0833","54.1833"
"5091","60","1992","117","11.4667","53.9"
"5828","60","1992","117","11.0833","52.6333"
"6257","60","1992","117","10.4667","51.2"
"6429","60","1992","117","10.4833","51.4833"
"933","60","1992","117","6.76667","52.6333"
