"pepid","bbch","year","doy","lon","lat"
"1042","60","1991","77","7.7","53.5333"
"1594","60","1991","80","8.23333","51.9667"
"3036","60","1991","80","9.4","48.8"
"2735","60","1991","82","7.35","49.25"
"3114","60","1991","84","8.61667","49.4667"
"3254","60","1991","84","7.63333","47.6"
"1466","60","1991","86","6.45","50.8833"
"2673","60","1991","86","7.76667","50.0833"
"3115","60","1991","88","8.65","49.6167"
"596","60","1991","89","9.76667","52.55"
"1275","60","1991","90","6.48333","51.25"
"522","60","1991","91","10.15","52.0833"
"3197","60","1991","91","8","48.1167"
"938","60","1991","92","7.28333","52.2833"
"1287","60","1991","92","6.01667","51.7833"
"2309","60","1991","92","8.61667","50.15"
"3087","60","1991","92","8.73333","49.25"
"3092","60","1991","92","8.88333","49.3833"
"3206","60","1991","92","7.96667","48.1"
"4599","60","1991","92","6.98333","49.2333"
"4632","60","1991","92","7.05","49.1667"
"1326","60","1991","93","6.25","51.5833"
"1378","60","1991","93","6.95","50.8167"
"1456","60","1991","93","6.31667","51.0833"
"1782","60","1991","93","8.35","51.6667"
"2507","60","1991","93","7.51667","50.3667"
"2864","60","1991","93","9.36667","48.9333"
"2933","60","1991","93","9.15","49.0833"
"3089","60","1991","93","8.7","49.3167"
"3105","60","1991","93","8.3","48.9667"
"3200","60","1991","93","7.7","48.1333"
"3340","60","1991","93","8.08333","48.2833"
"3464","60","1991","93","9.05","48.4167"
"931","60","1991","94","7.16667","52.3"
"1203","60","1991","94","8.48333","53.3333"
"1524","60","1991","94","8.2","51.8"
"1600","60","1991","94","7.1","51.6"
"1889","60","1991","94","7.76667","51.6"
"2016","60","1991","94","8.46667","49.8333"
"3064","60","1991","94","8.68333","49.1833"
"3099","60","1991","94","8.38333","49.0833"
"3111","60","1991","94","8.6","49.5167"
"3141","60","1991","94","8.81667","49.1833"
"977","60","1991","95","8.03333","52.3167"
"1291","60","1991","95","6.45","51.7833"
"1350","60","1991","95","6.71667","50.9167"
"1459","60","1991","95","6.28333","51.0167"
"1475","60","1991","95","6.25","50.7167"
"2314","60","1991","95","8.23333","50.1"
"2355","60","1991","95","8.98333","50.1667"
"2390","60","1991","95","7.96667","49.9833"
"2636","60","1991","95","6.63333","49.85"
"2744","60","1991","95","8.25","49.5667"
"3161","60","1991","95","9.31667","49.75"
"3213","60","1991","95","7.63333","48.0833"
"4630","60","1991","95","7.03333","49.2"
"889","60","1991","96","8.83333","53.6167"
"1235","60","1991","96","6.45","51.2"
"1708","60","1991","96","8.68333","51.7333"
"1948","60","1991","96","8.6","49.8"
"4649","60","1991","96","7.25","49.2167"
