"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","forceday","forcenight","photonight","photo","force"
"heide93","exp2","Betula","pendula","yes",59.5,10.767,"europe",1991,"yes","15-Mar-1991","","","","9","9","8","16","percentbudburst","100",42,"percentbudburst",NA,NA,NA,1946,1639.5,106.300561899067,1946,1639.5,106.300561899067,9,9,16,8,9
"junttila12","exp1","Betula","pendula","yes",67.05,15.033,"europe",2010,"","","","0","0","9","","24","0","percentbudburst","88",160,"percentbudburst",0,0,0,NA,NA,NA,0,0,0,9,NA,0,24,9
"junttila12","exp1","Betula","pendula","yes",67.05,15.033,"europe",2010,"","","","0","0","12","","24","0","percentbudburst","94",160,"percentbudburst",0,0,0,NA,NA,NA,0,0,0,12,NA,0,24,12
"junttila12","exp1","Betula","pendula","yes",67.05,15.033,"europe",2010,"","","","0","0","15","","24","0","percentbudburst","85",160,"percentbudburst",0,0,0,NA,NA,NA,0,0,0,15,NA,0,24,15
"li05","exp1","Betula","pendula","yes",63.233,26.12,"europe",2004,"","","","","0","18","18","12","12","percentbudburst","87.419",14,"percentbudburst",0,0,0,NA,NA,NA,0,0,0,18,18,12,12,18
"li05","exp1","Betula","pendula","yes",58.167,25.533,"europe",2004,"","","","","0","18","18","12","12","percentbudburst","100",0,"percentbudburst",0,0,0,NA,NA,NA,0,0,0,18,18,12,12,18
"li05","exp1","Betula","pendula","yes",58.167,25.533,"europe",2004,"","","6,.5","12","42","18","18","12","12","percentbudburst","100",7,"percentbudburst",1008,504,21.0969207656398,NA,NA,NA,1008,504,21.0969207656398,18,18,12,12,18
"li05","exp1","Betula","pendula","yes",67.7333,24.85,"europe",2004,"","","6,.5","12","42","18","18","12","12","percentbudburst","90.889",56,"percentbudburst",1008,504,21.0969207656398,NA,NA,NA,1008,504,21.0969207656398,18,18,12,12,18
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","112","20","","6","18","percentbudburst","82.065",11.546,"percentbudburst",2688,2688,89.9456104429835,NA,NA,NA,2688,2688,89.9456104429835,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","112","20","","6","18","percentbudburst","46.763",13.533,"percentbudburst",2688,2688,89.9456104429835,NA,NA,NA,2688,2688,89.9456104429835,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","140","20","","7","17","percentbudburst","47.795",18.765,"percentbudburst",3360,3360,112.652997449223,NA,NA,NA,3360,3360,112.652997449223,20,NA,17,7,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","140","20","","6","18","percentbudburst","100.18",15.793,"percentbudburst",3360,3360,112.652997449223,NA,NA,NA,3360,3360,112.652997449223,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","140","20","","7","17","percentbudburst","56.184",19.088,"percentbudburst",3360,3360,112.652997449223,NA,NA,NA,3360,3360,112.652997449223,20,NA,17,7,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","140","20","","6","18","percentbudburst","86.232",13.717,"percentbudburst",3360,3360,112.652997449223,NA,NA,NA,3360,3360,112.652997449223,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","140","20","","7","17","percentbudburst","52.878",19.015,"percentbudburst",3360,3360,112.652997449223,NA,NA,NA,3360,3360,112.652997449223,20,NA,17,7,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","154","20","","7","17","percentbudburst","77.915",17.659,"percentbudburst",3696,3696,124.006690952342,NA,NA,NA,3696,3696,124.006690952342,20,NA,17,7,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","168","20","","6","18","percentbudburst","100.18",12.766,"percentbudburst",4032,4032,134.48702341676,NA,NA,NA,4032,4032,134.48702341676,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","168","20","","6","18","percentbudburst","91.519",15.206,"percentbudburst",4032,4032,134.48702341676,NA,NA,NA,4032,4032,134.48702341676,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","168","20","","6","18","percentbudburst","100",9.474,"percentbudburst",4032,4032,134.48702341676,NA,NA,NA,4032,4032,134.48702341676,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","168","20","","6","18","percentbudburst","85.971",15.046,"percentbudburst",4032,4032,134.48702341676,NA,NA,NA,4032,4032,134.48702341676,20,NA,18,6,20
"rinne97","exp1","Betula","pendula","yes",65.167,27.33,"europe",1994,"no","","5.1","0","168","20","","6","18","percentbudburst","91.887",15.149,"percentbudburst",4032,4032,134.48702341676,NA,NA,NA,4032,4032,134.48702341676,20,NA,18,6,20
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","5","","9.5","14.5","daystobudburst","timeonly",25.76,"daystobudburst",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,5,NA,14.5,9.5,5
